tsn,taxon,class,subclass,infraclass,order,suborder,superfamily,family,infraorder,subfamily,genus,species,superorder,tribe,subgenus,subtribe
114497,Cerambycidae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Chrysomeloidea,Cerambycidae,Cucujiformia,NA,NA,NA,Holometabola,NA,NA,NA
114509,Chrysomelidae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Cucujiformia,NA,NA,NA,Holometabola,NA,NA,NA
114666,Curculionidae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Cucujiformia,NA,NA,NA,Holometabola,NA,NA,NA
114968,Buprestidae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Elateriformia,NA,NA,NA,Holometabola,NA,NA,NA
114999,Neuroptera,Insecta,Pterygota,Neoptera,Neuroptera,NA,NA,NA,NA,NA,NA,NA,Neuropterida,NA,NA,NA
115080,Hemerobiidae,Insecta,Pterygota,Neoptera,Neuroptera,Hemerobiiformia,NA,Hemerobiidae,NA,NA,NA,NA,Neuropterida,NA,NA,NA
115081,Chrysopidae,Insecta,Pterygota,Neoptera,Neuroptera,Hemerobiiformia,NA,Chrysopidae,NA,NA,NA,NA,Neuropterida,NA,NA,NA
115095,Trichoptera,Insecta,Pterygota,Neoptera,Trichoptera,NA,NA,NA,NA,NA,NA,NA,Holometabola,NA,NA,NA
117232,Lepidoptera,Insecta,Pterygota,Neoptera,Lepidoptera,NA,NA,NA,NA,NA,NA,NA,Holometabola,NA,NA,NA
117236,Lycaenidae,Insecta,Pterygota,Neoptera,Lepidoptera,NA,Papilionoidea,Lycaenidae,NA,NA,NA,NA,Holometabola,NA,NA,NA
117318,Noctuidae,Insecta,Pterygota,Neoptera,Lepidoptera,NA,Noctuoidea,Noctuidae,NA,NA,NA,NA,Holometabola,NA,NA,NA
117556,Geometridae,Insecta,Pterygota,Neoptera,Lepidoptera,NA,Geometroidea,Geometridae,NA,NA,NA,NA,Holometabola,NA,NA,NA
118831,Diptera,Insecta,Pterygota,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,NA,Holometabola,NA,NA,NA
118832,Nematocera,Insecta,Pterygota,Neoptera,Diptera,Nematocera,NA,NA,NA,NA,NA,NA,Holometabola,NA,NA,NA
118840,Tipulidae,Insecta,Pterygota,Neoptera,Diptera,Nematocera,NA,Tipulidae,Tipulomorpha,NA,NA,NA,Holometabola,NA,NA,NA
121315,Plecia nearctica,Insecta,Pterygota,Neoptera,Diptera,Nematocera,NA,Pleciidae,Bibionomorpha,NA,Plecia,Plecia nearctica,Holometabola,NA,NA,NA
121316,Bibionidae,Insecta,Pterygota,Neoptera,Diptera,Nematocera,NA,Bibionidae,Bibionomorpha,NA,NA,NA,Holometabola,NA,NA,NA
125351,Psychodidae,Insecta,Pterygota,Neoptera,Diptera,Nematocera,NA,Psychodidae,Psychodomorpha,NA,NA,NA,Holometabola,NA,NA,NA
125886,Chaoboridae,Insecta,Pterygota,Neoptera,Diptera,Nematocera,NA,Chaoboridae,Culicomorpha,NA,NA,NA,Holometabola,NA,NA,NA
